aabc_id,sc_sm_id,bill_generate_date,auto_bill_type,auto_bill_period,bill_cycle,auto_due_date,auto_grace_period,send_email,send_sms,next_billing_date,next_bill_period,flag,is_active,auto_approve,is_reminder_email,created_by,created_on,updated_by,updated_on,deleted_by,deleted_on,is_deleted,send_whatsapp,sc_sm_name
4650,19875,2025-07-02,MAINTENANCE_CHARGES,7,1,19,0,1,0,2026-01-02,1,0,1,1,0,350541,"2025-06-21 04:41:09",NULL,"2025-12-02 00:02:27",NULL,NULL,0,1,"JP Harmony A-2 Co Operative Housing Society LTD"
4654,20905,2025-07-02,MAINTENANCE_CHARGES,7,1,13,0,1,0,2026-01-02,1,0,1,1,0,350516,"2025-06-21 06:47:55",NULL,"2025-12-02 00:02:29",NULL,NULL,0,1,"Fiesta Co-Op Hsg Soc Ltd - ERP"
4662,698,2025-07-02,MAINTENANCE,7,1,8,0,1,0,2026-01-02,1,0,1,1,0,374048,"2025-06-21 09:38:03",NULL,"2025-12-02 00:02:37",NULL,NULL,0,1,"Nagarjuna CGHS"
4663,698,2025-07-02,NAGARJUNA_SINKING_FUND,7,1,8,0,1,0,2026-01-02,1,0,1,1,0,374048,"2025-06-21 09:38:45",NULL,"2025-12-02 00:02:41",NULL,NULL,0,1,"Nagarjuna CGHS"
4712,18273,2025-07-02,MAINTENANCE_CHARGES,7,1,19,0,1,0,2026-01-02,1,0,1,1,0,351030,"2025-06-26 14:20:55",NULL,"2025-12-02 00:03:04",NULL,NULL,0,1,"Axis Vertiga"
4830,8919,2025-07-02,MAINTENANCE_CHARGES,7,1,3,5,1,0,2026-01-02,1,0,1,1,0,282874,"2025-06-30 15:58:53",NULL,"2025-12-02 00:03:11",NULL,NULL,0,1,"Vishwa Vihar CHS Building 1"
4855,7818,2025-07-02,MONTHLY_MAINTENANCE_CHARGE,7,1,8,0,1,0,2026-01-02,1,0,1,1,0,283048,"2025-07-01 13:55:39",NULL,"2025-12-02 00:03:15",NULL,NULL,0,1,"Narayan Baug Housing Society"
4857,16988,2025-07-02,MAINTENANCE_CHARGES,7,1,13,0,1,0,2026-01-02,1,0,1,1,0,280050,"2025-07-01 14:06:47",NULL,"2025-12-02 00:03:24",NULL,NULL,0,1,"Life 360 A Wing - ERP"
4865,9091,2025-07-02,MONTHLY_MAINTENANCE_CHARGES,7,1,29,0,1,0,2026-01-02,1,0,1,1,0,295455,"2025-07-02 07:57:38",295455,"2025-12-02 00:03:51",NULL,NULL,0,1,"BDA Indraprastha"
4904,19266,2025-10-02,MAINTENANCE_CHARGES,23,2,13,0,1,0,2026-01-02,24,0,1,1,0,390435,"2025-07-13 09:11:51",390435,"2025-10-02 00:04:33",NULL,NULL,0,1,"Marutham Neptune"
4923,5369,2025-08-02,MAINTENANCE,8,1,6,0,1,0,2026-01-02,1,0,1,1,0,377022,"2025-07-13 11:22:51",NULL,"2025-12-02 00:03:55",NULL,NULL,0,1,"PAVANI PALMS"
4935,3865,2025-08-02,MAINTENANCE,8,1,8,0,1,0,2026-01-02,1,0,1,1,0,332517,"2025-07-15 12:36:13",NULL,"2025-12-02 00:04:00",NULL,NULL,0,1,"ARISTO KIRITICONS"
